time,coarse_droplet_counts_fluid_1,splash_height_fluid_1,droplet_radii_fluid_1,max_vertical_velocity_fluid_1
0.88,"[0, 0, 24]",2.00045685906515,"[0.15577881474092703, 0.042660074469388944, 0.059346690675592444, 0.0288000884958628, 0.04841259461836224, 0.04034949034588166, 0.022858645387554926, 0.04372701555779006, 0.018142918867386358, 0.07651165208336534, 0.02616661694061015, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.03773879203899354, 0.036285837734772716, 0.031023954865737495, 0.042660074469388944, 0.03296787148801051, 0.03296787148801051, 0.03296787148801051, 0.031023954865737495, 0.03296787148801051, 0.03296787148801051]",1.74695358932793
0.89,"[0, 0, 24]",2.00047577100527,"[0.15586080360592777, 0.042660074469388944, 0.059346690675592444, 0.0288000884958628, 0.04841259461836224, 0.04034949034588166, 0.022858645387554926, 0.04372701555779006, 0.018142918867386358, 0.07651165208336534, 0.02616661694061015, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.03773879203899354, 0.036285837734772716, 0.031023954865737495, 0.042660074469388944, 0.03296787148801051, 0.03296787148801051, 0.03296787148801051, 0.031023954865737495, 0.03296787148801051, 0.03296787148801051]",1.6612950084255
0.9,"[0, 0, 25]",2.00047564665862,"[0.15569673948087584, 0.042660074469388944, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.04034949034588166, 0.022858645387554926, 0.04372701555779006, 0.018142918867386358, 0.07651165208336534, 0.02616661694061015, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.03773879203899354, 0.036285837734772716, 0.031023954865737495, 0.042660074469388944, 0.03296787148801051, 0.03296787148801051, 0.03296787148801051, 0.031023954865737495, 0.036285837734772716, 0.03296787148801051, 0.03296787148801051]",1.57353963189125
0.91,"[0, 0, 25]",2.00047290119948,"[0.15503699962015852, 0.042660074469388944, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.04034949034588166, 0.022858645387554926, 0.04372701555779006, 0.018142918867386358, 0.07651165208336534, 0.02616661694061015, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.03773879203899354, 0.036285837734772716, 0.031023954865737495, 0.042660074469388944, 0.03296787148801051, 0.03296787148801051, 0.03296787148801051, 0.031023954865737495, 0.036285837734772716, 0.03296787148801051, 0.03296787148801051]",1.48379529525039
0.92,"[0, 0, 25]",2.00047851077304,"[0.15428801692606933, 0.042660074469388944, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.04034949034588166, 0.022858645387554926, 0.04372701555779006, 0.018142918867386358, 0.07651165208336534, 0.02616661694061015, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.03773879203899354, 0.036285837734772716, 0.031023954865737495, 0.042660074469388944, 0.03296787148801051, 0.03296787148801051, 0.03296787148801051, 0.031023954865737495, 0.036285837734772716, 0.03296787148801051, 0.03296787148801051]",1.39439254103423
0.93,"[0, 0, 25]",2.00047489401505,"[0.1525970532006396, 0.042660074469388944, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.04034949034588166, 0.022858645387554926, 0.04372701555779006, 0.018142918867386358, 0.07651165208336534, 0.02616661694061015, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.03773879203899354, 0.036285837734772716, 0.031023954865737495, 0.042660074469388944, 0.03296787148801051, 0.03296787148801051, 0.03296787148801051, 0.031023954865737495, 0.036285837734772716, 0.03296787148801051, 0.03296787148801051]",1.30600962685226
0.94,"[0, 0, 25]",2.00046462049967,"[0.15086775923767198, 0.042660074469388944, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.04034949034588166, 0.022858645387554926, 0.04372701555779006, 0.018142918867386358, 0.07651165208336534, 0.02616661694061015, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.03773879203899354, 0.036285837734772716, 0.031023954865737495, 0.042660074469388944, 0.03296787148801051, 0.03296787148801051, 0.03296787148801051, 0.031023954865737495, 0.036285837734772716, 0.03296787148801051, 0.03296787148801051]",1.22270076194197
0.95,"[0, 0, 25]",2.00046930453489,"[0.1487388290211024, 0.042660074469388944, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.04034949034588166, 0.022858645387554926, 0.04372701555779006, 0.018142918867386358, 0.07651165208336534, 0.02616661694061015, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.03773879203899354, 0.036285837734772716, 0.031023954865737495, 0.042660074469388944, 0.03296787148801051, 0.03296787148801051, 0.03296787148801051, 0.031023954865737495, 0.036285837734772716, 0.03296787148801051, 0.03296787148801051]",1.13737163268656
0.96,"[0, 0, 26]",2.00046382719874,"[0.14608220854925033, 0.03296787148801051, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.04034949034588166, 0.022858645387554926, 0.04372701555779006, 0.018142918867386358, 0.07651165208336534, 0.02616661694061015, 0.034706155247932885, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.03773879203899354, 0.036285837734772716, 0.031023954865737495, 0.042660074469388944, 0.03296787148801051, 0.03296787148801051, 0.03296787148801051, 0.031023954865737495, 0.036285837734772716, 0.03296787148801051, 0.03296787148801051]",1.05135751949161
0.97,"[0, 0, 26]",2.00046501717729,"[0.14274146361895335, 0.03296787148801051, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.04034949034588166, 0.022858645387554926, 0.04372701555779006, 0.018142918867386358, 0.07651165208336534, 0.02616661694061015, 0.034706155247932885, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.03773879203899354, 0.036285837734772716, 0.031023954865737495, 0.042660074469388944, 0.03296787148801051, 0.03296787148801051, 0.03296787148801051, 0.031023954865737495, 0.036285837734772716, 0.03296787148801051, 0.03296787148801051]",1.06839566240084
0.98,"[0, 0, 27]",2.00046359606246,"[0.13767897924409997, 0.03296787148801051, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.04034949034588166, 0.022858645387554926, 0.04372701555779006, 0.018142918867386358, 0.07651165208336534, 0.02616661694061015, 0.034706155247932885, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.03773879203899354, 0.036285837734772716, 0.031023954865737495, 0.042660074469388944, 0.03296787148801051, 0.04034949034588166, 0.03296787148801051, 0.03296787148801051, 0.031023954865737495, 0.036285837734772716, 0.03296787148801051, 0.03296787148801051]",1.16090138294844
0.99,"[0, 0, 27]",2.00046701571511,"[0.13367816916945663, 0.03296787148801051, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.04034949034588166, 0.022858645387554926, 0.04372701555779006, 0.018142918867386358, 0.07651165208336534, 0.02616661694061015, 0.034706155247932885, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.03773879203899354, 0.036285837734772716, 0.031023954865737495, 0.042660074469388944, 0.03296787148801051, 0.04034949034588166, 0.03296787148801051, 0.03296787148801051, 0.031023954865737495, 0.036285837734772716, 0.03296787148801051, 0.03296787148801051]",1.25204828469035
1,"[0, 0, 26]",2.00046362619511,"[0.12834380554179517, 0.03296787148801051, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.04034949034588166, 0.022858645387554926, 0.04372701555779006, 0.018142918867386358, 0.07651165208336534, 0.02616661694061015, 0.034706155247932885, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.03773879203899354, 0.042660074469388944, 0.031023954865737495, 0.042660074469388944, 0.03296787148801051, 0.04034949034588166, 0.03296787148801051, 0.03296787148801051, 0.036285837734772716, 0.03296787148801051, 0.03296787148801051]",1.34255735404893
1.01,"[0, 0, 26]",2.00046562647365,"[0.12305294814551648, 0.03296787148801051, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.04034949034588166, 0.022858645387554926, 0.04372701555779006, 0.018142918867386358, 0.07651165208336534, 0.02616661694061015, 0.034706155247932885, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.03773879203899354, 0.042660074469388944, 0.031023954865737495, 0.042660074469388944, 0.03296787148801051, 0.04034949034588166, 0.03296787148801051, 0.03296787148801051, 0.036285837734772716, 0.03296787148801051, 0.03296787148801051]",1.43473181455864
1.02,"[0, 0, 26]",2.00047037175571,"[0.11726320135899343, 0.03296787148801051, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.04034949034588166, 0.022858645387554926, 0.04372701555779006, 0.018142918867386358, 0.07651165208336534, 0.02616661694061015, 0.034706155247932885, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.03773879203899354, 0.042660074469388944, 0.031023954865737495, 0.042660074469388944, 0.03296787148801051, 0.04034949034588166, 0.03296787148801051, 0.03296787148801051, 0.036285837734772716, 0.03296787148801051, 0.03296787148801051]",1.52694139018682
1.03,"[0, 0, 27]",2.00047439083045,"[0.03296787148801051, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.04034949034588166, 0.022858645387554926, 0.11132118441990953, 0.04372701555779006, 0.018142918867386358, 0.07022900083657117, 0.02616661694061015, 0.046650553284516505, 0.034706155247932885, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.03773879203899354, 0.042660074469388944, 0.031023954865737495, 0.042660074469388944, 0.03296787148801051, 0.04034949034588166, 0.03296787148801051, 0.03296787148801051, 0.036285837734772716, 0.03296787148801051, 0.03296787148801051]",1.61914970602659
1.04,"[0, 0, 26]",2.00047820677005,"[0.042660074469388944, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.04034949034588166, 0.022858645387554926, 0.1046664677624406, 0.04372701555779006, 0.018142918867386358, 0.07022900083657117, 0.02616661694061015, 0.046650553284516505, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.03773879203899354, 0.042660074469388944, 0.031023954865737495, 0.042660074469388944, 0.03296787148801051, 0.04034949034588166, 0.03296787148801051, 0.03296787148801051, 0.036285837734772716, 0.03296787148801051, 0.03296787148801051]",1.71345438485237
1.05,"[0, 0, 26]",2.00047915646439,"[0.042660074469388944, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.04034949034588166, 0.022858645387554926, 0.09890361446403154, 0.04372701555779006, 0.018142918867386358, 0.07022900083657117, 0.02616661694061015, 0.046650553284516505, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.03773879203899354, 0.042660074469388944, 0.031023954865737495, 0.042660074469388944, 0.03296787148801051, 0.04034949034588166, 0.03296787148801051, 0.03296787148801051, 0.036285837734772716, 0.03296787148801051, 0.03296787148801051]",1.80548771938473
1.06,"[0, 0, 26]",2.00047428329691,"[0.042660074469388944, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.04034949034588166, 0.022858645387554926, 0.09330110656903301, 0.04372701555779006, 0.018142918867386358, 0.07022900083657117, 0.02616661694061015, 0.046650553284516505, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.03773879203899354, 0.042660074469388944, 0.031023954865737495, 0.042660074469388944, 0.03296787148801051, 0.04034949034588166, 0.03296787148801051, 0.03296787148801051, 0.036285837734772716, 0.03296787148801051, 0.03296787148801051]",1.8957611474603
1.07,"[0, 0, 26]",2.00046680776672,"[0.042660074469388944, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.04034949034588166, 0.022858645387554926, 0.08745403111558012, 0.04372701555779006, 0.018142918867386358, 0.07022900083657117, 0.02616661694061015, 0.046650553284516505, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.03773879203899354, 0.042660074469388944, 0.031023954865737495, 0.042660074469388944, 0.03296787148801051, 0.04034949034588166, 0.03296787148801051, 0.03296787148801051, 0.036285837734772716, 0.03296787148801051, 0.03296787148801051]",1.98565279403596
1.08,"[0, 0, 26]",2.00046322725644,"[0.042660074469388944, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.04034949034588166, 0.022858645387554926, 0.08130576272870677, 0.04372701555779006, 0.018142918867386358, 0.07022900083657117, 0.02616661694061015, 0.046650553284516505, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.03773879203899354, 0.042660074469388944, 0.031023954865737495, 0.042660074469388944, 0.03296787148801051, 0.04034949034588166, 0.03296787148801051, 0.03296787148801051, 0.036285837734772716, 0.03296787148801051, 0.03296787148801051]",2.07757746059273
1.09,"[0, 0, 26]",2.00046371560597,"[0.042660074469388944, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.04034949034588166, 0.022858645387554926, 0.0751265204724122, 0.04372701555779006, 0.018142918867386358, 0.07022900083657117, 0.02616661694061015, 0.046650553284516505, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.03773879203899354, 0.042660074469388944, 0.031023954865737495, 0.042660074469388944, 0.03296787148801051, 0.04034949034588166, 0.03296787148801051, 0.03296787148801051, 0.036285837734772716, 0.03296787148801051, 0.03296787148801051]",2.17739034687758
1.1,"[0, 0, 26]",2.00046853560977,"[0.042660074469388944, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.04034949034588166, 0.022858645387554926, 0.06941231049586576, 0.04372701555779006, 0.018142918867386358, 0.07022900083657117, 0.02616661694061015, 0.046650553284516505, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.03773879203899354, 0.042660074469388944, 0.031023954865737495, 0.042660074469388944, 0.03296787148801051, 0.04034949034588166, 0.03296787148801051, 0.03296787148801051, 0.036285837734772716, 0.03296787148801051, 0.03296787148801051]",2.27563707593053
1.11,"[0, 0, 26]",2.000478035305,"[0.042660074469388944, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.04034949034588166, 0.022858645387554926, 0.06204790973147499, 0.04372701555779006, 0.018142918867386358, 0.07022900083657117, 0.02616661694061015, 0.046650553284516505, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.03773879203899354, 0.042660074469388944, 0.031023954865737495, 0.042660074469388944, 0.03296787148801051, 0.04034949034588166, 0.03296787148801051, 0.03296787148801051, 0.036285837734772716, 0.03296787148801051, 0.03296787148801051]",2.36073709478396
1.12,"[0, 0, 26]",2.000476061762,"[0.042660074469388944, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.04034949034588166, 0.022858645387554926, 0.05159604788508603, 0.04372701555779006, 0.018142918867386358, 0.07022900083657117, 0.02616661694061015, 0.046650553284516505, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.03773879203899354, 0.042660074469388944, 0.031023954865737495, 0.042660074469388944, 0.03296787148801051, 0.04034949034588166, 0.03296787148801051, 0.03296787148801051, 0.036285837734772716, 0.03296787148801051, 0.03296787148801051]",2.40684022866848
1.13,"[0, 0, 26]",2.00046577359518,"[0.042660074469388944, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.04034949034588166, 0.022858645387554926, 0.04372701555779006, 0.018142918867386358, 0.07022900083657117, 0.02616661694061015, 0.04153691525797346, 0.046650553284516505, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.03773879203899354, 0.042660074469388944, 0.031023954865737495, 0.042660074469388944, 0.03296787148801051, 0.04034949034588166, 0.03296787148801051, 0.03296787148801051, 0.036285837734772716, 0.03296787148801051, 0.03296787148801051]",2.50180317954701
